Timestamp,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
1737927392.0255675,-9.56,8.52,13.29,-7.78,6.49,11.6
1737927392.0653393,-4.61,7.08,8.91,-4.11,6.71,7.35
1737927392.105828,-6.52,4.2,7.05,-7.04,1.08,7.8
1737927392.145386,-6.76,5.11,6.64,-5.64,1.03,6.63
1737927392.184805,-4.34,1.59,5.66,-3.33,2.3,5.29
1737927392.224992,-3.47,-0.18,3.44,-4.6,-1.67,3.22
1737927392.265238,-4.91,-1.43,4.18,-4.64,2.02,6.25
1737927392.3051531,-5.39,3.22,7.29,-7.17,1.41,7.02
1737927392.3452137,-9.88,0.97,6.87,-11.11,-1.3,7.7
1737927392.385014,-9.1,2.55,9.19,-5.83,6.58,9.29
1737927392.4251285,-5.73,4.75,8.21,-7.61,3.7,7.28
1737927392.465771,-13.97,3.39,6.31,-16.12,-4.81,5.06
1737927392.5054753,-9.5,-0.04,2.92,1.52,1.18,1.78
1737927392.5454788,5.64,5.37,0.18,4.66,-1.16,-0.86
1737927392.5846395,3.34,-15.06,-2.45,4.01,-9.43,-0.4
1737927392.6254683,8.87,0.53,4.74,13.12,8.65,7.21
1737927392.66521,15.52,9.05,6.62,17.97,-2.5,3.38
1737927392.704646,17.14,0.88,2.26,14.6,8.07,6.29
1737927392.7457006,12.11,11.35,11.37,7.64,12.01,11.29
1737927392.7850778,6.64,4.02,8.86,6.61,4.82,8.86
1737927392.8257241,6.9,12.8,12.25,6.62,15.75,12.03
1737927392.8645093,2.37,16.0,11.88,-3.97,16.66,12.03
1737927392.9047992,-10.07,11.39,11.42,-12.63,8.08,12.53
1737927392.9450321,-10.85,13.16,12.26,-7.61,17.25,10.39
1737927392.9847498,-8.09,18.28,9.19,-12.15,14.12,6.86
1737927393.0247335,-15.09,7.19,6.07,-12.87,6.44,4.72
1737927393.066464,-9.74,14.36,7.54,-12.92,15.53,4.53
1737927393.1053948,-16.74,1.06,1.44,-14.09,-2.24,3.06
1737927393.145434,-3.81,2.29,-0.58,2.26,2.93,-1.36
1737927393.1853366,0.58,2.98,-1.86,-8.97,-5.04,-2.35
1737927393.2254238,-15.03,-13.35,-0.69,-10.22,-4.93,0.28
1737927393.2655432,3.21,-3.24,-0.83,7.76,8.38,-3.54
1737927393.3055325,10.75,-2.48,-7.61,11.28,-15.84,-4.38
1737927393.3456254,8.27,-2.32,-0.17,10.05,0.61,4.14
1737927393.3855696,12.62,2.03,4.22,14.13,1.76,3.88
1737927393.424609,15.94,1.25,3.99,16.18,7.13,9.13
1737927393.4652338,14.35,11.32,8.98,11.57,8.66,9.47
1737927393.5047352,8.55,7.89,10.84,5.83,13.24,11.87
1737927393.5447598,6.78,6.28,10.58,4.81,15.2,11.42
1737927393.5850282,-0.17,19.61,14.4,-6.71,18.86,11.97
1737927393.6253269,-11.73,8.64,15.66,-15.81,17.42,17.51
1737927393.6649635,-17.86,18.68,16.62,-15.99,14.2,14.02
1737927393.7049046,-11.64,15.51,11.26,-7.8,12.25,8.42
1737927393.745024,-6.68,9.87,7.34,-10.5,10.95,7.34
1737927393.7859147,-11.8,3.12,8.17,-10.52,5.99,9.22
1737927393.8251293,-4.4,4.53,7.46,-0.98,5.64,2.55
1737927393.8657444,-2.19,-1.22,-1.21,-8.21,-6.86,-1.97
1737927393.9053454,-15.07,-7.48,-0.72,-14.02,-7.91,1.78
1737927393.9459455,-6.23,1.95,1.25,0.19,-0.29,-2.83
1737927393.9849193,3.11,-2.43,-5.24,0.56,-4.51,-4.74
1737927394.0251307,-1.35,-8.93,-0.04,3.79,-3.49,0.66
1737927394.0653677,11.57,-0.95,-1.33,16.76,5.99,-5.82
1737927394.1042545,16.22,1.93,-0.63,14.91,-4.14,1.7
1737927394.1440396,13.45,8.25,8.32,12.45,15.28,11.73
1737927394.1840167,9.1,10.02,10.13,6.99,1.87,8.43
1737927394.225217,9.63,3.28,9.44,10.92,14.81,14.06
1737927394.2648838,8.9,19.61,13.22,4.42,9.28,9.63
1737927394.3048148,0.76,3.82,11.34,-3.18,16.25,16.07
1737927394.3448045,-6.87,19.61,16.62,-9.18,8.69,11.07
1737927394.3850565,-7.9,4.72,13.49,-9.77,19.61,16.82
1737927394.425451,-11.64,13.6,11.57,-13.38,5.7,7.98
1737927394.4653132,-13.41,11.49,9.67,-13.61,14.76,10.7
1737927394.505235,-16.78,9.68,8.45,-15.01,3.7,9.51
1737927394.5451128,-6.72,6.3,4.98,-1.47,5.24,3.27
1737927394.5856402,-2.12,2.38,2.05,-8.07,-0.41,3.02
1737927394.6255314,-12.88,-6.15,5.68,-10.92,-0.83,5.42
1737927394.665496,-5.81,-1.08,1.05,1.94,-10.56,-3.81
1737927394.705622,4.69,0.57,-1.8,-0.84,7.07,0.77
1737927394.744881,-6.29,-11.94,0.24,-0.98,-13.73,0.01
1737927394.7852252,5.96,9.16,2.07,11.46,2.62,-3.23
1737927394.8251188,14.7,-11.23,-6.07,16.29,-3.87,-0.03
1737927394.8649695,17.54,13.6,2.33,9.73,19.61,8.45
1737927394.904808,5.68,-1.92,8.28,3.61,-6.29,4.84
1737927394.9449716,8.09,5.4,7.03,11.51,19.61,11.4
1737927394.9850328,14.45,17.28,10.7,13.99,9.19,6.01
1737927395.0249913,8.55,16.95,5.2,0.74,19.61,5.66
1737927395.0657282,-7.56,17.21,16.22,-13.03,19.61,19.61
1737927395.105554,-16.24,19.61,18.67,-13.43,16.38,11.11
1737927395.1447694,-12.87,13.24,15.84,-8.13,19.2,14.14
1737927395.184468,-6.93,16.8,7.93,-4.94,5.19,6.53
1737927395.2243948,-6.74,12.55,8.84,-9.2,9.79,9.36
1737927395.2653272,-11.57,6.56,5.93,-13.92,3.23,3.47
1737927395.3050852,-12.9,-1.9,1.99,-10.94,0.82,0.11
1737927395.3453705,-6.94,-3.35,0.41,-4.1,2.75,2.29
1737927395.3858936,-4.09,2.45,-0.26,-7.88,-5.56,-2.54
1737927395.4255276,-12.55,-7.24,-3.17,-6.68,-12.21,-1.55
1737927395.4653258,2.06,4.37,0.6,7.43,8.59,-1.68
1737927395.5052388,13.99,-12.45,-8.56,14.22,-2.85,-2.91
1737927395.5452147,12.0,11.19,2.97,9.9,1.14,7.03
1737927395.5860436,8.29,-2.49,3.94,13.68,-10.14,0.16
1737927395.625229,19.61,5.88,-2.35,17.48,19.61,9.54
1737927395.664937,14.22,13.58,9.92,9.03,-0.49,6.07
1737927395.705665,6.12,1.68,11.91,7.88,11.51,16.1
1737927395.7450662,10.49,16.14,14.87,9.3,15.44,12.56
1737927395.7856157,5.86,9.39,9.8,-0.92,16.93,14.39
1737927395.8252993,-9.03,19.61,18.53,-18.35,17.48,13.7
1737927395.8660192,-19.61,-0.38,17.83,-16.66,15.75,18.04
1737927395.905765,-10.62,15.33,13.32,-4.98,9.52,10.37
1737927395.9455996,-5.01,13.06,8.02,-8.84,6.88,5.87
1737927395.985226,-11.96,-2.37,5.94,-12.41,1.37,5.6
1737927396.0250373,-11.61,1.67,4.35,-8.06,2.2,6.28
1737927396.0656466,-5.66,1.77,1.74,-3.96,-6.45,-2.83
1737927396.10532,-7.01,-5.62,-4.86,-12.4,-5.91,1.09
1737927396.145672,-13.92,3.17,5.86,-11.13,0.58,3.9
1737927396.1848705,-0.89,-9.58,-4.49,9.67,-2.97,-6.66
1737927396.225086,11.3,13.0,-5.64,10.38,-3.59,-0.32
1737927396.2649953,11.13,-10.76,-0.79,12.12,6.79,5.68
1737927396.3047464,11.67,12.75,7.65,10.01,0.43,6.75
1737927396.345033,14.02,-12.37,1.97,19.61,2.15,-1.9
1737927396.3847153,16.82,19.61,9.44,12.16,17.07,11.67
1737927396.4253938,6.18,-3.3,9.0,6.49,-6.5,10.02
1737927396.465951,7.9,15.96,17.86,8.45,19.61,17.9
1737927396.5050383,3.99,17.99,13.87,-1.53,3.51,12.38
1737927396.545381,-5.79,8.46,18.05,-10.96,19.61,19.61
1737927396.5858424,-13.93,13.25,17.26,-11.52,-1.56,17.62
1737927396.6255786,-8.37,13.28,17.59,-5.24,14.18,15.65
1737927396.6653697,-4.82,7.77,12.37,-7.87,8.67,10.87
1737927396.7059422,-11.31,2.83,7.81,-12.7,-2.41,6.53
1737927396.7451997,-11.67,-0.35,5.81,-7.24,-0.87,6.28
1737927396.7851226,-1.87,1.29,4.2,1.58,-1.59,-1.07
1737927396.8251817,-4.47,-1.68,-3.44,-17.52,-7.52,0.99
1737927396.8654804,-19.61,-8.18,5.51,-12.81,0.55,5.77
1737927396.9046764,-0.6,4.75,0.06,6.29,1.41,-5.67
1737927396.9448965,8.15,-4.33,-7.23,4.16,-1.8,-0.49
1737927396.9848433,5.62,-5.28,2.42,10.36,-0.58,1.31
1737927397.0249517,11.76,13.96,5.94,12.51,-0.23,1.62
1737927397.065098,13.63,-9.99,2.0,16.9,3.43,2.32
1737927397.1059353,17.11,15.12,6.39,13.24,8.85,7.81
1737927397.1453257,7.41,2.78,9.02,4.79,1.59,11.41
1737927397.1850274,7.63,8.57,12.97,9.66,17.38,17.7
1737927397.2254095,11.09,11.48,10.4,7.42,7.46,10.92
1737927397.2653763,1.82,15.86,17.67,-4.59,19.61,19.61
1737927397.304932,-7.63,10.94,18.15,-11.53,13.18,18.34
1737927397.3456655,-16.28,16.44,19.36,-15.86,5.6,19.61
1737927397.385174,-10.34,10.87,17.05,-4.62,14.71,14.35
1737927397.4257805,-4.77,11.63,7.8,-8.97,1.13,5.25
1737927397.4652703,-12.8,-1.24,5.74,-12.54,1.98,7.42
1737927397.5055394,-9.17,5.6,8.06,-5.97,6.67,6.51
1737927397.545654,-4.64,-3.32,-1.52,-4.46,-6.73,-2.61
1737927397.5850148,-10.94,-0.22,-2.43,-17.84,-8.84,1.68
1737927397.6255355,-17.69,-7.22,2.74,-5.94,-5.19,-1.77
1737927397.666323,4.79,3.49,-3.12,6.24,8.17,-5.11
1737927397.7056844,4.37,-8.11,-5.89,3.87,-10.06,0.9
1737927397.7450993,7.41,7.2,6.23,11.0,14.73,3.16
1737927397.7855606,11.75,-5.14,-1.22,18.24,-16.44,-2.27
1737927397.8251674,19.61,11.25,-0.87,16.83,19.61,8.59
1737927397.8642,11.64,10.47,7.79,7.02,-3.97,7.54
1737927397.905846,7.81,-1.55,8.41,7.58,15.86,13.24
1737927397.9459345,10.9,19.61,16.3,9.57,15.66,11.67
1737927397.985269,6.45,9.37,13.11,0.56,17.38,19.61
1737927398.026251,-5.7,19.61,19.61,-9.91,15.95,15.37
1737927398.0656478,-9.47,-2.08,13.34,-9.07,11.0,17.8
1737927398.105635,-5.15,18.38,19.61,-3.55,15.85,13.24
1737927398.1456754,-3.76,3.12,8.23,-7.55,9.49,12.2
1737927398.1856086,-12.99,10.72,12.5,-14.67,0.82,11.63
1737927398.2251987,-14.33,3.69,9.75,-8.54,0.44,5.36
1737927398.2653146,-1.31,2.83,4.89,-2.36,6.84,0.75
1737927398.305174,-8.8,-4.47,-0.73,-15.78,-11.5,-1.07
1737927398.3451643,-19.08,-3.14,-0.41,-13.8,-10.83,-1.6
1737927398.3850067,0.35,-6.68,-3.78,6.46,13.66,-2.65
1737927398.4256065,4.82,9.61,-4.88,2.3,-15.96,-7.75
1737927398.4649904,5.71,-15.73,-1.77,9.73,14.14,4.01
1737927398.505855,16.64,12.05,-0.55,18.21,-4.18,-3.4
1737927398.5448818,18.18,-3.64,-3.95,19.31,8.05,0.55
1737927398.5850382,14.2,19.61,10.34,9.3,17.41,12.45
1737927398.6247141,6.92,3.01,8.77,4.34,6.73,12.85
1737927398.6655877,8.07,12.86,15.25,12.51,17.2,14.76
1737927398.7056534,10.78,18.49,12.1,6.77,12.24,10.12
1737927398.745873,0.85,11.75,16.31,-5.6,19.61,19.61
1737927398.7856777,-10.31,19.42,15.99,-10.94,4.02,16.57
1737927398.8256521,-13.48,15.29,19.61,-14.46,19.61,19.61
1737927398.8657923,-9.61,2.81,11.43,-4.19,10.26,8.97
1737927398.9049442,-2.81,11.11,6.86,-6.95,-0.14,2.81
1737927398.945781,-10.17,-4.78,4.83,-9.42,-0.93,6.6
1737927398.9853694,-6.07,4.77,7.71,-3.31,2.66,4.57
